Title,DisasterType,Date
Burnt Canyon Wildfire  Lincoln  Nevada,Wildfires,11-Jun-2025
Dunes Wildfire  Washington  Idaho,Wildfires,03-Jun-2025
Holly Springs IU 36 1 34 1 RX Prescribed Fire  Marshall  Mississippi,Wildfires,03-Jun-2025
OKR Blackjack Island Rx 0603 Prescribed Fire  Ware  Georgia,Wildfires,03-Jun-2025
Banana Lake Wildfire  Sanders  Montana,Wildfires,31-May-2025
SNF E Hamilton C-55 RX Prescribed Fire  Shelby  Texas,Wildfires,30-May-2025
RA 2 PAYETTE CO ASHLOCK Wildfire  Payette  Idaho,Wildfires,29-May-2025
BAR Camp Bowie Rx Prescribed Fire  Brown  Texas,Wildfires,29-May-2025
Perchman Wildfire  Putnam  Florida,Wildfires,27-May-2025
Paradise Wildfire  Catron  New Mexico,Wildfires,26-May-2025
NEW WALES (53) Wildfire  Polk  Florida,Wildfires,26-May-2025
Wood Wildfire  Highlands  Florida,Wildfires,26-May-2025
BUTTE CREEK Wildfire  Wheeler  Oregon,Wildfires,25-May-2025
CAMP Wildfire  Lincoln  New Mexico,Wildfires,25-May-2025
Kathul Wildfire  Southeast Fairbanks  Alaska,Wildfires,25-May-2025
Sandy Wildfire  Monroe  Florida,Wildfires,24-May-2025
dinwoodie Wildfire  Mountrail  North Dakota,Wildfires,24-May-2025
dinwoodie Wildfire  McKenzie  North Dakota,Wildfires,24-May-2025
dinwoodie Wildfire  Mountrail  North Dakota,Wildfires,23-May-2025
Rx Trinity 2730 Prescribed Fire  Trinity  Texas,Wildfires,23-May-2025
RX Compartment 113 East Prescribed Fire  Jasper  Georgia,Wildfires,23-May-2025
INN Wildfire  Mono  California,Wildfires,22-May-2025
CODY Wildfire  Pinal  Arizona,Wildfires,21-May-2025
Broadway Wildfire  La Paz  Arizona,Wildfires,21-May-2025
SNF Hawthorne C 51-52 RX Prescribed Fire  San Augustine  Texas,Wildfires,21-May-2025
FD2505120020 Wildfire  Grant  North Dakota,Wildfires,19-May-2025
Homochitto BB 67 68 RX Prescribed Fire  Wilkinson  Mississippi,Wildfires,19-May-2025
RX Kent 2681 Prescribed Fire  Kent  Texas,Wildfires,19-May-2025
DeSoto BB 7255 North GFP RX Prescribed Fire  Harrison  Mississippi,Wildfires,19-May-2025
Rx San Augustine 2664 Prescribed Fire  San Augustine  Texas,Wildfires,19-May-2025
Democrat Wildfire  Kern  California,Wildfires,18-May-2025
APQ Delta Prairie Rx 0517 Prescribed Fire  Highlands  Florida,Wildfires,17-May-2025
Bluff Creek Wildfire  Jackson  Mississippi,Wildfires,16-May-2025
Homochitto BB45sub1 and Pockets of Sub2 RX Prescribed Fire  Franklin  Mississippi,Wildfires,16-May-2025
RX Mason Valley Fishponds Prescribed Fire  Lyon  Nevada,Wildfires,15-May-2025
APQ Rec Area 4 Rx 0515 Prescribed Fire  Highlands  Florida,Wildfires,15-May-2025
APQ Rec Area 4 Rx 0514 Prescribed Fire  Highlands  Florida,Wildfires,14-May-2025
ACRES Wildfire  Madera  California,Wildfires,14-May-2025
Greer Wildfire  Apache  Arizona,Wildfires,13-May-2025
Karymsky Volcano  Russia,Volcanoes,11-May-2025
rx-63 Wildfire  Burnett  Wisconsin,Wildfires,07-May-2025
RX DRAKE RANCH SW Wildfire  Murray  Oklahoma,Wildfires,07-May-2025
RX DRAKE RANCH Wildfire  Pottawatomie  Oklahoma,Wildfires,07-May-2025
RX PENNER RANCH Wildfire  Murray  Oklahoma,Wildfires,07-May-2025
OP-1 Wildfire  Polk  Florida,Wildfires,06-May-2025
Darrynane Lake RX Wildfire  Stafford  Kansas,Wildfires,05-May-2025
Rx Polk 2488 Wildfire  Polk  Texas,Wildfires,05-May-2025
Holly Springs IU 98 sub 1 RX Wildfire  Lafayette  Mississippi,Wildfires,05-May-2025
Walden RX Wildfire  Pope  Minnesota,Wildfires,05-May-2025
Pouch Point Wildfire  Mountrail  North Dakota,Wildfires,05-May-2025
RX CALE C-25 Wildfire  Rapides  Louisiana,Wildfires,05-May-2025
RX KIS C-64 Wildfire  Natchitoches  Louisiana,Wildfires,05-May-2025
Iron Wildfire  Catron  New Mexico,Wildfires,04-May-2025
Whelan Lake Block 1&amp; 2 RX Wildfire  Mason  Michigan,Wildfires,03-May-2025
Sunset RD Wildfire  Brunswick  North Carolina,Wildfires,02-May-2025
Rx Polk 2469 Wildfire  Polk  Texas,Wildfires,02-May-2025
Salt Creek Rx Wildfire  Box Elder  Utah,Wildfires,02-May-2025
Sawlog Wildfire  Beaverhead  Montana,Wildfires,01-May-2025
American Creek RX Wildfire  Lyman  South Dakota,Wildfires,01-May-2025
Homochitto BB 45 Sub 1 2 RX Wildfire  Franklin  Mississippi,Wildfires,30-Apr-2025
Chickasawhay CPT 356 RX Wildfire  Jones  Mississippi,Wildfires,30-Apr-2025
DeSoto BB 7203 East RX Wildfire  Perry  Mississippi,Wildfires,29-Apr-2025
Homochitto BB 36 S Sub 5 RX Wildfire  Wilkinson  Mississippi,Wildfires,29-Apr-2025
RX CAT C-32-33-34 Wildfire  Grant  Louisiana,Wildfires,29-Apr-2025
RX KIS C-24-25 Wildfire  Natchitoches  Louisiana,Wildfires,29-Apr-2025
RX CALE C-49 Wildfire  Rapides  Louisiana,Wildfires,29-Apr-2025
ANF Guidrey C 65 RX Wildfire  Angelina  Texas,Wildfires,29-Apr-2025
Horse Heaven Rx Wildfire  Wythe  Virginia,Wildfires,29-Apr-2025
rx-Lapham Good Oak 2025 Wildfire  Waukesha  Wisconsin,Wildfires,28-Apr-2025
Rainbow Gulch RX Wildfire  El Paso  Colorado,Wildfires,28-Apr-2025
Stronghold Wildfire  Cochise  Arizona,Wildfires,28-Apr-2025
DeSoto BB 7209 Northwest RX Wildfire  Perry  Mississippi,Wildfires,28-Apr-2025
RX CALE C-362 Wildfire  Rapides  Louisiana,Wildfires,28-Apr-2025
RX KIS C-43-44 Wildfire  Natchitoches  Louisiana,Wildfires,28-Apr-2025
Wildfire in Australia 1023712,Wildfires,27-Apr-2025
BLACK SWAMP Wildfire  Jones  North Carolina,Wildfires,27-Apr-2025
Dutch Mill RX Wildfire  Delta  Michigan,Wildfires,26-Apr-2025
Farrell RX Wildfire  Codington  South Dakota,Wildfires,26-Apr-2025
RX BOSH JACKPOT Wildfire  Owyhee  Idaho,Wildfires,25-Apr-2025
27 FIRE Wildfire  Broward  Florida,Wildfires,25-Apr-2025
Bee Island Fire (58) Wildfire  Sarasota  Florida,Wildfires,24-Apr-2025
Thompson Hollow Rd. Wildfire  Adams  Pennsylvania,Wildfires,24-Apr-2025
Fore Mountain Rx Wildfire  Alleghany  Virginia,Wildfires,24-Apr-2025
Iceberg A23C,Sea and Lake Ice,24-Apr-2025
Iceberg D36A,Sea and Lake Ice,24-Apr-2025
Iceberg D36B,Sea and Lake Ice,24-Apr-2025
Jones Road Wildfire  Ocean  New Jersey,Wildfires,23-Apr-2025
Curry Island (22) Wildfire  Glades  Florida,Wildfires,22-Apr-2025
Wildfire in Russian Federation 1023700,Wildfires,22-Apr-2025
Wildfire in Russian Federation 1023704,Wildfires,22-Apr-2025
Wildfire in Russian Federation 1023706,Wildfires,22-Apr-2025
Wildfire in Russian Federation 1023707,Wildfires,22-Apr-2025
Wildfire in Russian Federation 1023710,Wildfires,22-Apr-2025
Pines RX Wildfire  Sevier  Utah,Wildfires,22-Apr-2025
NW Prairie South RX Wildfire  Lac qui Parle  Minnesota,Wildfires,22-Apr-2025
Plum Creek Wildfire  Brown  Nebraska,Wildfires,21-Apr-2025
Wildfire in Mexico 1023698,Wildfires,21-Apr-2025
LXR Eastside Rx 0419 Wildfire  Palm Beach  Florida,Wildfires,21-Apr-2025
Wildfire in Russian Federation 1023708,Wildfires,20-Apr-2025
Wildfire in Russian Federation 1023695,Wildfires,19-Apr-2025
Wildfire in Russian Federation 1023701,Wildfires,19-Apr-2025
Wildfire in Australia 1023713,Wildfires,19-Apr-2025
Hwy 210 Wildfire  Pender  North Carolina,Wildfires,19-Apr-2025
Danny&#039;s Wildfire  Cumberland  New Jersey,Wildfires,19-Apr-2025
Wildfire in Cuba 1023709,Wildfires,18-Apr-2025
Wildfire in Russian Federation 1023705,Wildfires,18-Apr-2025
LIRI FY25 Slant Rock RX Wildfire  Winston  Alabama,Wildfires,18-Apr-2025
rx-51 North Wildfire  Burnett  Wisconsin,Wildfires,18-Apr-2025
Wildfire in Laos 1023696,Wildfires,17-Apr-2025
Wildfire in Russian Federation 1023699,Wildfires,17-Apr-2025
Wildfire in Russian Federation 1023702,Wildfires,17-Apr-2025
Wildfire in Russian Federation 1023711,Wildfires,17-Apr-2025
DCNF C. 41/42 RX Wildfire  Houston  Texas,Wildfires,17-Apr-2025
Tombigbee CPT 79 77 RX Wildfire  Winston  Mississippi,Wildfires,17-Apr-2025
RX C1 &amp; C2 Wildfire  Montgomery  Arkansas,Wildfires,17-Apr-2025
Partridge Two Wildfire  Morrison  Minnesota,Wildfires,17-Apr-2025
Bienville CPT 61 63 RX Wildfire  Scott  Mississippi,Wildfires,17-Apr-2025
RX Stevens Wildfire  Polk  Arkansas,Wildfires,17-Apr-2025
LXR Eastside Rx 0417 Wildfire  Palm Beach  Florida,Wildfires,17-Apr-2025
Fed Park RX Wildfire  Mason  Michigan,Wildfires,17-Apr-2025
Buck Creek Fire Wildfire  Pushmataha  Oklahoma,Wildfires,16-Apr-2025
Mio Prairie RX Wildfire  Oscoda  Michigan,Wildfires,16-Apr-2025
Holly Springs IU 140 1  141 1 RX Wildfire  Yalobusha  Mississippi,Wildfires,16-Apr-2025
RX Alamo 17 Wildfire  Garland  Arkansas,Wildfires,16-Apr-2025
RX Crystal Peninsula &amp; Hickory Nut Wildfire  Garland  Arkansas,Wildfires,16-Apr-2025
RX Bo/Mag Byway Wildfire  Logan  Arkansas,Wildfires,16-Apr-2025
RX CAN C23-28 Wildfire  Webster  Louisiana,Wildfires,16-Apr-2025
RX CAN C-29 Wildfire  Webster  Louisiana,Wildfires,16-Apr-2025
RX Greenhaw Wildfire  Newton  Arkansas,Wildfires,16-Apr-2025
RX Buffalo Road Wildfire  Scott  Arkansas,Wildfires,16-Apr-2025
Site 3 RX A&amp;C Wildfire  Talladega  Alabama,Wildfires,16-Apr-2025
Jail House RX Wildfire  Winston  Alabama,Wildfires,16-Apr-2025
Chase Fuels RX Wildfire  Lake  Michigan,Wildfires,16-Apr-2025
Rx Walker 2224 Wildfire  Walker  Texas,Wildfires,16-Apr-2025
RX Wildcat Hollow East Wildfire  Yell  Arkansas,Wildfires,16-Apr-2025
Wildfire in Australia 1023684,Wildfires,15-Apr-2025
Wildfire in Australia 1023685,Wildfires,15-Apr-2025
Picker Flats Fire Wildfire  Adair  Oklahoma,Wildfires,15-Apr-2025
Bee Rock Creek Wildfire  McDowell  North Carolina,Wildfires,15-Apr-2025
RX Ross Creek East 3 Wildfire  Scott  Arkansas,Wildfires,15-Apr-2025
RX CAT C-39 Wildfire  Grant  Louisiana,Wildfires,15-Apr-2025
SHNF C. 6/7 RX Wildfire  Montgomery  Texas,Wildfires,15-Apr-2025
Unit 23 24 26 RX Wildfire  Sherburne  Minnesota,Wildfires,15-Apr-2025
IBSP North RX Wildfire  Lake  Illinois,Wildfires,15-Apr-2025
RX WINN C-23 Wildfire  Winn  Louisiana,Wildfires,15-Apr-2025
ANF Townsend C. 15 RX Wildfire  San Augustine  Texas,Wildfires,15-Apr-2025
RX CALE C-361 Wildfire  Rapides  Louisiana,Wildfires,15-Apr-2025
Hilliardville Wildfire  Wakulla  Florida,Wildfires,15-Apr-2025
Blue Jay Wildfire  Montgomery  Texas,Wildfires,14-Apr-2025
Wildfire in Russian Federation 1023690,Wildfires,14-Apr-2025
Wildfire in Russian Federation 1023697,Wildfires,14-Apr-2025
Wildfire in Russian Federation 1023703,Wildfires,14-Apr-2025
Mill Creek RX Wildfire  Jackson  Illinois,Wildfires,14-Apr-2025
FY25 TAPR WP1 RP1 RP2 CH1 CH2 RX BIL Wildfire  Chase  Kansas,Wildfires,14-Apr-2025
West Funk Lagoon WPA Unit RX Wildfire  Phelps  Nebraska,Wildfires,14-Apr-2025
LAST CHANCE Wildfire  Delaware  Oklahoma,Wildfires,14-Apr-2025
MTMLR-BIL-FY25-RX-Unit 10 Wildfire  Cascade  Montana,Wildfires,14-Apr-2025
Holly Springs IU 131 2  134 1 RX Wildfire  Yalobusha  Mississippi,Wildfires,14-Apr-2025
Double S Middle RX Wildfire  Thomas  Nebraska,Wildfires,14-Apr-2025
RX WINN C-12-19 Wildfire  Natchitoches  Louisiana,Wildfires,14-Apr-2025
Chickasawhay CPT 375 376 RX Wildfire  Wayne  Mississippi,Wildfires,14-Apr-2025
SHNF C 70/72 RX Wildfire  Walker  Texas,Wildfires,14-Apr-2025
rx-Kincaid Spring Wildfire  Waukesha  Wisconsin,Wildfires,14-Apr-2025
RX Stob Gap 12 Alexander Mtn 5 Wildfire  Franklin  Arkansas,Wildfires,14-Apr-2025
RX N Bee Rough Wildfire  McCurtain  Oklahoma,Wildfires,14-Apr-2025
RX Beech Creek C4 C5 C6 Wildfire  Montgomery  Arkansas,Wildfires,14-Apr-2025
RX Wildcat cr/ Barnhart West Wildfire  Yell  Arkansas,Wildfires,14-Apr-2025
South 19th RX Wildfire  Coffey  Kansas,Wildfires,13-Apr-2025
Ceder River Fire Wildfire  Adams  North Dakota,Wildfires,13-Apr-2025
rx-78 Wildfire  Burnett  Wisconsin,Wildfires,13-Apr-2025
Wiregrass RX Wildfire  Clay  Alabama,Wildfires,13-Apr-2025
Raung Volcano  Indonesia,Volcanoes,13-Apr-2025
HAOE LEAD Wildfire  Graham  North Carolina,Wildfires,12-Apr-2025
Juniper Swamp Wildfire  Liberty  Florida,Wildfires,12-Apr-2025
Wildfire in Russian Federation 1023674,Wildfires,12-Apr-2025
Wildfire in Russian Federation 1023680,Wildfires,12-Apr-2025
Wildfire in Australia 1023687,Wildfires,12-Apr-2025
Wildfire in Russian Federation 1023688,Wildfires,12-Apr-2025
Wildfire in Russian Federation 1023691,Wildfires,12-Apr-2025
Paur Fire Wildfire  Grand Forks  North Dakota,Wildfires,12-Apr-2025
Maumee RX Wildfire  Jackson  Indiana,Wildfires,12-Apr-2025
Homochitto BB18 South Sub 3 Rx Wildfire  Franklin  Mississippi,Wildfires,12-Apr-2025
Holly Springs IU 113 1 RX Wildfire  Lafayette  Mississippi,Wildfires,12-Apr-2025
SHNF COMP 25 26 RX Wildfire  Walker  Texas,Wildfires,12-Apr-2025
Chickasawhay CPT 352 RX Wildfire  Jones  Mississippi,Wildfires,12-Apr-2025
Wildfire in Chad 1023669,Wildfires,11-Apr-2025
Wildfire in Russian Federation 1023675,Wildfires,11-Apr-2025
Wildfire in Sudan 1023682,Wildfires,11-Apr-2025
Rx San Jacinto 2077 Wildfire  San Jacinto  Texas,Wildfires,11-Apr-2025
Buffalo Wildfire  Dewey  South Dakota,Wildfires,11-Apr-2025
SPA RX - ELK DROP Wildfire  Stevens  Washington,Wildfires,11-Apr-2025
RX Ross Creek East Wildfire  Scott  Arkansas,Wildfires,11-Apr-2025
San Pitch RX Wildfire  Sanpete  Utah,Wildfires,11-Apr-2025
Homochitto BB 18 South Sub 2 3  RX Wildfire  Franklin  Mississippi,Wildfires,11-Apr-2025
Compartment 30 RX Wildfire  Bibb  Alabama,Wildfires,11-Apr-2025
RX Eastern 1 S &amp; Camp Clearfork Wildfire  Garland  Arkansas,Wildfires,11-Apr-2025
RX Walnut 12 Wildfire  Montgomery  Arkansas,Wildfires,11-Apr-2025
DCNF C. 39 RX Wildfire  Houston  Texas,Wildfires,11-Apr-2025
RX CALV C-253-254-259 Wildfire  Vernon  Louisiana,Wildfires,11-Apr-2025
rx-Pierce-Jacobson Flowage Wildfire  Walworth  Wisconsin,Wildfires,11-Apr-2025
RX Rock Creek Wildfire  Van Buren  Arkansas,Wildfires,11-Apr-2025
RX Whiskey Springs North Wildfire  Crawford  Arkansas,Wildfires,11-Apr-2025
RX Bee Knob Wildfire  Yell  Arkansas,Wildfires,11-Apr-2025
Fishing Bay Wildfire  Dorchester  Maryland,Wildfires,11-Apr-2025
Guinea Island Wildfire  Dorchester  Maryland,Wildfires,11-Apr-2025
Continental Flare Fire Wildfire  McKenzie  North Dakota,Wildfires,10-Apr-2025
Wildfire in Australia 1023670,Wildfires,10-Apr-2025
Wildfire in Russian Federation 1023676,Wildfires,10-Apr-2025
Wildfire in Russian Federation 1023681,Wildfires,10-Apr-2025
Wildfire in Russian Federation 1023683,Wildfires,10-Apr-2025
Wildfire in Russian Federation 1023692,Wildfires,10-Apr-2025
Wildfire in Russian Federation 1023693,Wildfires,10-Apr-2025
rx-80 Wildfire  Burnett  Wisconsin,Wildfires,10-Apr-2025
RX Little Creek Wildfire  Franklin  Arkansas,Wildfires,10-Apr-2025
Tombigbee IU 40s RX Wildfire  Choctaw  Mississippi,Wildfires,10-Apr-2025
RX CAT C-13-14 Wildfire  Grant  Louisiana,Wildfires,10-Apr-2025
Compartment 21 RX Wildfire  Hale  Alabama,Wildfires,10-Apr-2025
RX Smokey Hollow 1 &amp; Smokey Hollow 1 West Wildfire  Montgomery  Arkansas,Wildfires,10-Apr-2025
SNF Curry Creek E. C. 120 RX Wildfire  Sabine  Texas,Wildfires,10-Apr-2025
RX Alamo 20 Wildfire  Montgomery  Arkansas,Wildfires,10-Apr-2025
Homochitto BB 31 Sub 2 RX Wildfire  Amite  Mississippi,Wildfires,10-Apr-2025
Chickasawhay CPT 374 376 RX Wildfire  Wayne  Mississippi,Wildfires,10-Apr-2025
RX Wildcat West /  Norris Wildfire  Yell  Arkansas,Wildfires,10-Apr-2025
